id,name,address,rating,latitude,longitude,link,total_reviews,opening_hours,phone,combined_text
150,Vanjaloe Coffe Shop,"Jl. Selabintana No.Km, RW.4","4,9",-6.89533,106.939,https://www.google.com/maps/place/Vanjaloe+Coffe+Shop/data=!4m7!3m6!1s0x2e68491a42918d91:0x37f4a66fb6e6b8f!8m2!3d-6.8953314!4d106.9386029!16s%2Fg%2F11q_31f_d_!19sChIJkY2RQhpJaC4Rj2tu-2ZKfwM?authuser=0&hl=id&rclk=1,21,,,"Vanjaloe Coffe Shop Jl. Selabintana No.Km, RW.4"
151,Kedai Kopi 35,Jl. Surya Kencana No.101,"4,6",-6.91105,106.935,https://www.google.com/maps/place/Kedai+Kopi+35/data=!4m7!3m6!1s0x2e6849745e51467f:0xaddf5df328382c4!8m2!3d-6.9110476!4d106.9346821!16s%2Fg%2F11gk6pwy1q!19sChIJf0ZRXnRJaC4RxIKDMt_13Qo?authuser=0&hl=id&rclk=1,365,,,Kedai Kopi 35 Jl. Surya Kencana No.101
152,Somewhere Coffee,Jl. Ciaul Jl. Selabintana,"4,6",-6.89396,106.942,https://www.google.com/maps/place/Somewhere+Coffee/data=!4m7!3m6!1s0x2e6849b19d34cd4d:0x8e4ca460a49896c9!8m2!3d-6.8939638!4d106.94169!16s%2Fg%2F11lnvn2llc!19sChIJTc00nbFJaC4RyZaYpGCkTI4?authuser=0&hl=id&rclk=1,177,,,Somewhere Coffee Jl. Ciaul Jl. Selabintana
153,Thread Coffee,Jl. Kenari No.12,"4,8",-6.91486,106.93,https://www.google.com/maps/place/Thread+Coffee/data=!4m7!3m6!1s0x2e684910ed965b95:0x1eef3bb35e9035d2!8m2!3d-6.9148603!4d106.9299571!16s%2Fg%2F11kp5sz4vs!19sChIJlVuW7RBJaC4R0jWQXrM77x4?authuser=0&hl=id&rclk=1,22,,,Thread Coffee Jl. Kenari No.12
154,Fore Coffee - Citimall Sukabumi,"Citimall Sukabumi, Jl. A. Yani No.121-127 Ground Floor Unit G-0115","4,7",-6.9222,106.929,https://www.google.com/maps/place/Fore+Coffee+-+Citimall+Sukabumi/data=!4m7!3m6!1s0x2e684991dae18313:0xa141641b64ed67f2!8m2!3d-6.922197!4d106.9287538!16s%2Fg%2F11t0pbk97b!19sChIJE4Ph2pFJaC4R8mftZBtkQaE?authuser=0&hl=id&rclk=1,137,,,"Fore Coffee - Citimall Sukabumi Citimall Sukabumi, Jl. A. Yani No.121-127 Ground Floor Unit G-0115"
155,Coffee.Sejiwa,Jl. Cikiray Kidul No.146,"4,4",-6.90631,106.896,https://www.google.com/maps/place/Coffee.Sejiwa/data=!4m7!3m6!1s0x2e6837beaecfd38f:0x7c20c1acaf36b66d!8m2!3d-6.9063086!4d106.8961914!16s%2Fg%2F11pvgrkgz9!19sChIJj9PPrr43aC4RbbY2r6zBIHw?authuser=0&hl=id&rclk=1,194,,,Coffee.Sejiwa Jl. Cikiray Kidul No.146
156,MOKODO SPACE,Jl. Pelabuhan II No.178,"4,6",-6.93371,106.925,https://www.google.com/maps/place/MOKODO+SPACE/data=!4m7!3m6!1s0x2e6849a4eb5aac35:0xeb48e7175dc749!8m2!3d-6.9337058!4d106.9249425!16s%2Fg%2F11fvw_ty5z!19sChIJNaxa66RJaC4RScddF-dI6wA?authuser=0&hl=id&rclk=1,462,,,MOKODO SPACE Jl. Pelabuhan II No.178
157,Brue,Alamat tidak ditemukan,"4,7",-6.91747,106.931,https://www.google.com/maps/place/Brue/data=!4m7!3m6!1s0x2e684987b0c938ad:0xa846ed4cf4361deb!8m2!3d-6.917467!4d106.9313126!16s%2Fg%2F11vdf9qrm5!19sChIJrTjJsIdJaC4R6x029EztRqg?authuser=0&hl=id&rclk=1,55,,,Brue Alamat tidak ditemukan
158,Viesta Coffee & Dining,Jl. Siliwangi No.115,"4,4",-6.91381,106.935,https://www.google.com/maps/place/Viesta+Coffee+%26+Dining/data=!4m7!3m6!1s0x2e684835659e85e1:0xb6f793b14f2118e7!8m2!3d-6.9138142!4d106.9351942!16s%2Fg%2F11c3_1wtkx!19sChIJ4YWeZTVIaC4R5xghT7GT97Y?authuser=0&hl=id&rclk=1,634,,,Viesta Coffee & Dining Jl. Siliwangi No.115
159,Tekun.id Sukabumi,Jl. Ir. H. Juanda,"4,9",-6.92026,106.931,https://www.google.com/maps/place/Tekun.id+Sukabumi/data=!4m7!3m6!1s0x2e68496e201c4461:0x6807920472c07dcb!8m2!3d-6.9202609!4d106.9309856!16s%2Fg%2F11rf9_ytkc!19sChIJYUQcIG5JaC4Ry33AcgSSB2g?authuser=0&hl=id&rclk=1,435,,,Tekun.id Sukabumi Jl. Ir. H. Juanda
160,Soekabums Coffee,Jl. Bhayangkara No.76A,"4,9",-6.91504,106.92,https://www.google.com/maps/place/Soekabums+Coffee/data=!4m7!3m6!1s0x2e6849d57b04d413:0x81d89c50b9810631!8m2!3d-6.9150433!4d106.9198664!16s%2Fg%2F11vc0sbvsr!19sChIJE9QEe9VJaC4RMQaBuVCc2IE?authuser=0&hl=id&rclk=1,13,,,Soekabums Coffee Jl. Bhayangkara No.76A
161,Kopi Kamana - Sriwidari,Jl. Sriwidari,"4,7",-6.91732,106.926,https://www.google.com/maps/place/Kopi+Kamana+-+Sriwidari/data=!4m7!3m6!1s0x2e6849db58f6ea9b:0x9808978ab92e2255!8m2!3d-6.9173245!4d106.9258326!16s%2Fg%2F11rrr9pjn_!19sChIJm-r2WNtJaC4RVSIuuYqXCJg?authuser=0&hl=id&rclk=1,188,,,Kopi Kamana - Sriwidari Jl. Sriwidari
162,Kopi Kamana - Lettu Bakri,Jl. Lettu Bakri No.8,"4,7",-6.92204,106.922,https://www.google.com/maps/place/Kopi+Kamana+-+Lettu+Bakri/data=!4m7!3m6!1s0x2e6849ea7527ed5f:0xc0eac1d338a380db!8m2!3d-6.9220441!4d106.9221338!16s%2Fg%2F11hdy7j9lf!19sChIJX-0ndepJaC4R24CjONPB6sA?authuser=0&hl=id&rclk=1,240,,,Kopi Kamana - Lettu Bakri Jl. Lettu Bakri No.8
163,Co-Feed Coffee,Jl. Dewi Sartika No.39,"4,9",-6.91748,106.932,https://www.google.com/maps/place/Co-Feed+Coffee/data=!4m7!3m6!1s0x2e684945087f2f57:0x81aff099122d835b!8m2!3d-6.9174808!4d106.932235!16s%2Fg%2F11rjv1lc1_!19sChIJVy9_CEVJaC4RW4MtEpnwr4E?authuser=0&hl=id&rclk=1,39,,,Co-Feed Coffee Jl. Dewi Sartika No.39
164,Kopitiam Sukabumi,"Jalan Surya Kencana, Selabatu, Cikole, Jl. Surya Kencana No.50","4,4",-6.91679,106.931,https://www.google.com/maps/place/Kopitiam+Sukabumi/data=!4m7!3m6!1s0x2e6848341a203c7b:0xc4b3d488bcb4cc35!8m2!3d-6.9167923!4d106.9310169!16s%2Fg%2F11c5x35tr_!19sChIJezwgGjRIaC4RNcy0vIjUs8Q?authuser=0&hl=id&rclk=1,336,,,"Kopitiam Sukabumi Jalan Surya Kencana, Selabatu, Cikole, Jl. Surya Kencana No.50"
165,Nama Coffee,Jl. RH. Didi Sukardi No.37,"4,6",-6.93413,106.932,https://www.google.com/maps/place/Nama+Coffee/data=!4m7!3m6!1s0x2e6849f69256371f:0xe1d6e8bae52d7ead!8m2!3d-6.9341349!4d106.932222!16s%2Fg%2F11j3rdk7x9!19sChIJHzdWkvZJaC4RrX4t5bro1uE?authuser=0&hl=id&rclk=1,550,,,Nama Coffee Jl. RH. Didi Sukardi No.37
166,Point Cafe Raden Samsudin,Alamat tidak ditemukan,"4,8",-6.91485,106.936,https://www.google.com/maps/place/Point+Cafe+Raden+Samsudin/data=!4m7!3m6!1s0x2e68498c6dbc9fc3:0xc7fea6d4ba7873df!8m2!3d-6.9148532!4d106.9357845!16s%2Fg%2F11fj98rzy9!19sChIJw5-8bYxJaC4R33N4utSm_sc?authuser=0&hl=id&rclk=1,112,,,Point Cafe Raden Samsudin Alamat tidak ditemukan
167,Kopitiam Zakse,Jl. Zaenal Zakse No.9B,"4,6",-6.92233,106.931,https://www.google.com/maps/place/Kopitiam+Zakse/data=!4m7!3m6!1s0x2e684837591e47eb:0x349d874c617e6905!8m2!3d-6.9223259!4d106.93087!16s%2Fg%2F11bzyqwgvb!19sChIJ60ceWTdIaC4RBWl-YUyHnTQ?authuser=0&hl=id&rclk=1,154,,,Kopitiam Zakse Jl. Zaenal Zakse No.9B
168,Kedai Kopi Nusantara Sukabumi,Jl. Cicantayan,"4,7",-6.90722,106.874,https://www.google.com/maps/place/Kedai+Kopi+Nusantara+Sukabumi/data=!4m7!3m6!1s0x2e683651085e2bef:0x718208dd0e95b80b!8m2!3d-6.9072209!4d106.8737166!16s%2Fg%2F11f_p2qspg!19sChIJ7yteCFE2aC4RC7iVDt0IgnE?authuser=0&hl=id&rclk=1,51,,,Kedai Kopi Nusantara Sukabumi Jl. Cicantayan
169,Kedai Coffe KOPDUDE,Jl. Pajajaran 1 No.36,"4,7",-6.91495,106.898,https://www.google.com/maps/place/Kedai+Coffe+KOPDUDE/data=!4m7!3m6!1s0x2e6837e222a6d5f1:0x3402aa653fbc4b!8m2!3d-6.914945!4d106.89828!16s%2Fg%2F11rwx2rmsk!19sChIJ8dWmIuI3aC4RS7w_ZaoCNAA?authuser=0&hl=id&rclk=1,10,,,Kedai Coffe KOPDUDE Jl. Pajajaran 1 No.36
170,Point Coffee Jalur Sukabumi,"Jl. RAYA LINGKAR SLEATAN, JALUR ) SINDANG SARI","4,6",-6.94797,106.916,https://www.google.com/maps/place/Point+Coffee+Jalur+Sukabumi/data=!4m7!3m6!1s0x2e684993506316a5:0xd6d8ef289aea6a94!8m2!3d-6.9479707!4d106.9161151!16s%2Fg%2F11fpkwz688!19sChIJpRZjUJNJaC4RlGrqmijv2NY?authuser=0&hl=id&rclk=1,27,,,"Point Coffee Jalur Sukabumi Jl. RAYA LINGKAR SLEATAN, JALUR ) SINDANG SARI"
171,Seecul Signature Kaum,Jl. Masjid No.11,"4,7",-6.92007,106.925,https://www.google.com/maps/place/Seecul+Signature+Kaum/data=!4m7!3m6!1s0x2e6849a11da91383:0x77ff921188ac69eb!8m2!3d-6.9200698!4d106.9253477!16s%2Fg%2F11nykx29cf!19sChIJgxOpHaFJaC4R62msiBGS_3c?authuser=0&hl=id&rclk=1,57,,,Seecul Signature Kaum Jl. Masjid No.11
172,Teras Kopi,Alamat tidak ditemukan,"5,0",-6.92518,106.924,https://www.google.com/maps/place/Teras+Kopi/data=!4m7!3m6!1s0x2e68492ac016987f:0x4006f7d2126a9d6f!8m2!3d-6.9251804!4d106.9238595!16s%2Fg%2F11fl5q0mh6!19sChIJf5gWwCpJaC4Rb51qEtL3BkA?authuser=0&hl=id&rclk=1,51,,,Teras Kopi Alamat tidak ditemukan
173,Mokopi Jalur,Jl. Tangkil - Agrabinta,"4,1",-6.93389,106.904,https://www.google.com/maps/place/Mokopi+Jalur/data=!4m7!3m6!1s0x2e6837b075128f4f:0xddcde4b70d6bbc0f!8m2!3d-6.9338892!4d106.9035913!16s%2Fg%2F11tslq7pz4!19sChIJT48SdbA3aC4RD7xrDbfkzd0?authuser=0&hl=id&rclk=1,214,,,Mokopi Jalur Jl. Tangkil - Agrabinta
174,Brewcave Brewtherhood,Jl. R. E. Martadinata Gg. Ajid I No.11,"4,8",-6.91951,106.93,https://www.google.com/maps/place/Brewcave+Brewtherhood/data=!4m7!3m6!1s0x2e684906225f6ce3:0x78d78c8e37d0d8a!8m2!3d-6.919507!4d106.9296383!16s%2Fg%2F11gfjd6sn5!19sChIJ42xfIgZJaC4Rig1948h4jQc?authuser=0&hl=id&rclk=1,100,,,Brewcave Brewtherhood Jl. R. E. Martadinata Gg. Ajid I No.11
